Dataset, Pretraining, F1, AUC-ROC
Leffingwell, False, 0.5833333333333334, 0.8093841642228738
Leffingwell, True, 0.4799999999999999, 0.844574780058651
Dream, False,	0.11659192825112108, 0.6989583333333333
Dream, True, 0.27999999999999997, 0.7080128205128206
